spikein,1071D,1071E,1071G,1071H,1071I,1071P,1071Q,1071X,1072B,1071T,1072C,1072G,1072L,1075E,1075F,1071R,1071S,1071U,1071V,1071W,1050B,1050C,1052C,1052I,1053D,1050Q,1052O,1053K,1053L,1053M,1052E,1052F,1059A,1059H,1050F,1050J,1050M,1050N,1050O,1050P,1057A,1057B,1057D,1056E,1066D,1048H,1048I,1048K,1056G,1056H,1048N,1048R,1056A,1065B,1065D,1048E,1048J,1048L,1056I,1056K
ERCC_00002,12228,15308,15049,11832,18875,5636,14441,17045,12592,11742,2346,5482,5419,5435,6999,13234,5113,6669,8527,9734,10905,13819,21435,7724,19501,26682,33440,18728,17271,18171,11692,10797,4772,7039,5146,7760,4611,7554,5140,6523,30102,15399,14381,20303,9826,27830,14798,10158,15253,16463,8428,5395,7260,7812,9759,5826,9450,8607,7989,8449
ERCC_00003,2223,2299,1904,1766,2999,869,2617,2970,2112,1684,382,901,809,862,1093,2196,791,998,1440,1649,1598,1922,3053,1329,2208,4284,4123,3029,2913,2997,1645,1355,887,1069,994,1320,752,1069,856,777,5308,2186,2495,3279,1476,4389,2223,1545,1993,3016,1944,1056,1079,1309,1457,1117,1555,1717,1196,1507
ERCC_00004,1128,1331,1298,1106,1906,512,1445,1698,1200,1054,1908,4137,4193,3892,5149,10527,3844,5344,7431,7619,934,1313,1809,668,1165,2630,1955,1613,1530,1714,7522,6392,3840,4845,4470,6114,3583,5467,4334,3721,3070,1418,1434,1822,992,2188,1339,896,1226,1572,8239,4606,4618,6034,7139,5161,7309,7858,5207,6565
ERCC_00009,271,288,277,221,364,110,345,354,268,231,81,232,231,194,294,535,184,273,363,362,197,261,377,153,408,515,490,374,361,358,483,399,178,267,162,281,170,266,206,247,532,310,244,364,199,556,263,190,281,343,293,204,283,284,385,212,295,335,319,328
ERCC_00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
ERCC_00013,0,0,0,1,5,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,2,0,2,0,1,4,4,0,0,0,0,1,0,3,1,1,0,0,1,0,4,0,2,2,0,0,1,0,1,1,0,0,0,2,1,0,0,1,0,0
ERCC_00014,4,4,3,3,3,0,5,6,4,3,0,0,3,0,0,2,0,2,2,1,1,2,3,0,4,9,4,4,4,1,2,5,2,1,1,4,2,2,2,0,9,4,3,5,3,10,4,5,3,4,3,1,2,1,0,2,6,2,1,3
ERCC_00016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ERCC_00017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
ERCC_00019,2,5,5,2,4,2,3,0,4,6,5,7,13,8,11,21,2,12,15,17,3,0,2,3,7,5,3,4,4,4,14,18,7,13,9,13,6,15,8,12,6,2,1,3,1,3,3,1,2,3,18,7,22,12,13,13,21,21,18,11
ERCC_00022,191,191,200,150,303,78,219,235,156,163,47,92,75,58,120,178,69,82,129,151,180,196,285,97,308,381,549,268,237,235,186,157,61,97,84,101,63,120,62,84,449,197,224,260,129,427,191,109,195,235,148,81,108,103,125,78,112,141,97,114
ERCC_00024,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,2,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,2,0,0,0,0,0,1,0,0,0,0,0
ERCC_00025,35,28,29,34,44,14,35,37,29,22,17,25,30,31,36,70,15,27,45,38,28,40,55,15,42,50,75,41,43,46,57,44,23,20,22,27,26,29,23,27,56,39,25,39,20,75,23,31,36,39,50,22,33,38,42,31,40,28,38,40
ERCC_00028,0,0,1,1,0,0,0,1,0,0,0,1,2,4,2,8,3,2,4,3,0,1,3,0,2,0,2,4,0,1,3,4,1,2,2,2,0,2,0,2,8,1,0,4,1,3,0,1,0,2,4,2,5,3,5,6,3,2,3,7
ERCC_00031,1,0,0,0,0,1,1,2,1,1,0,1,0,1,3,3,0,0,0,0,1,1,1,1,1,2,1,0,0,1,3,1,1,0,1,1,0,3,3,0,2,2,2,1,0,0,0,2,0,3,0,0,0,0,4,0,0,2,1,1
ERCC_00033,1,1,2,0,1,0,0,0,1,1,1,1,2,3,5,8,3,4,5,3,1,2,0,0,1,1,3,4,1,0,5,5,2,2,3,4,1,4,5,3,2,2,1,1,0,4,0,0,1,0,4,2,5,3,2,5,2,3,6,4
ERCC_00034,4,6,9,4,11,2,3,5,8,7,1,5,1,2,9,9,5,7,4,5,3,5,8,2,13,12,12,12,11,4,5,12,7,7,5,4,6,3,5,5,9,6,6,11,4,14,6,8,5,8,3,6,5,7,4,0,11,11,8,3
ERCC_00035,45,57,48,44,73,9,45,51,50,40,7,33,42,42,40,71,36,34,53,60,30,46,79,23,73,85,130,54,51,60,75,77,37,54,32,41,40,39,39,40,90,46,50,58,30,72,45,36,47,47,58,33,49,42,60,38,58,52,44,38
ERCC_00039,5,3,3,1,4,1,4,6,1,3,3,2,0,4,0,5,0,1,3,3,1,5,2,1,4,2,9,4,4,2,1,2,3,2,0,2,1,2,2,0,5,3,2,3,1,5,3,0,3,4,1,0,0,2,1,0,0,4,0,1
ERCC_00040,0,0,0,0,3,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,3,3,1,0,1,0,0,0,0,0,0,1,0,0,0,5,0,0,1,0,1,0,0,0,0,2,0,0,4,1,0,0,0,0,0
ERCC_00041,2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,1,0,0,2,0,0,0,0,1,2,0,2,0,0,0,0,1,0,1,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0
ERCC_00042,328,347,324,278,531,155,454,491,334,303,110,290,290,251,368,722,263,336,490,485,271,329,542,205,346,654,549,441,442,494,592,517,320,337,309,421,247,387,270,290,810,387,371,470,205,640,324,228,312,431,544,297,357,449,561,308,489,521,468,484
ERCC_00043,1326,1319,1230,999,1733,538,1556,1641,1187,1009,234,432,487,503,621,1179,457,573,871,836,908,1173,1670,704,1237,2466,2122,1610,1534,1567,930,807,448,593,493,709,471,582,470,445,3080,1262,1404,1732,881,2210,1265,839,1154,1533,870,522,529,740,829,564,877,777,665,817
ERCC_00044,35,45,40,35,52,17,39,44,36,37,9,22,22,26,35,43,26,39,41,42,22,37,69,27,77,92,124,49,64,57,51,49,12,18,14,34,22,35,17,23,100,53,45,71,27,106,45,26,47,51,34,25,34,38,47,35,37,47,31,29
ERCC_00046,3545,4203,3872,3305,5597,1682,4647,5482,3870,3162,772,1658,1581,1563,2161,4290,1436,2026,2869,2980,2973,4175,5542,2417,4205,8172,7055,5551,5184,5513,3136,2617,1334,1801,1383,2516,1348,2075,1572,1515,9098,4366,4590,5716,2585,7836,4466,2760,3531,5027,2507,1503,1889,2007,2638,1555,2394,2430,1965,2518
